"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","StanSearchBl","StanSearchWh","StanFriskBl","StanFriskWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","WhitePopShare","HispPoliceShare","HispPopShare","BlackPoliceShare","BlackPopShare","AsianPoliceShare","AsianPopShare","PoliceRatioWhBl","None"
"Charlotte",2015,NA,369732,447406,60371,38343,3147,836,72,14,0.1633,0.0857,0.0776,1.9053,73,0.2883,2188,"South",77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68,1
"Cincinti",2015,NA,140390,160441,15127,9484,NA,NA,NA,NA,0.1077,0.0591,0.0486,1.8228,71.84,0.297,2138,"Midwest",66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16,1
"Columbus",2015,NA,270800,578188,11250,10862,1222,637,NA,NA,0.0415,0.0188,0.0228,2.2114,75.69,0.2917,2808,"Midwest",86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65,1
"Durham",2015,NA,119822,136654,13594,6489,1297,154,64,1,0.1135,0.0475,0.066,2.3892,60.63,0.2561,1764,"South",64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18,1
"Fayetteville",2015,NA,99578,107246,30879,21136,668,145,10,7,0.3101,0.1971,0.113,1.5735,60.63,0.1771,201,"South",71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87,1
"Greensboro",2015,NA,131316,153374,15959,9838,672,204,14,4,0.1215,0.0641,0.0574,1.8947,67.91,0.2564,730,"South",75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87,1
"Hartford",2015,NA,67065,56227,2100,1841,298,181,NA,NA,0.0313,0.0327,-0.0014,0.9563,63.93,0.3426,346,"Northeast",64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22,1
"Houston",2015,NA,642441,1580047,96652,169482,NA,NA,NA,NA,0.1504,0.1073,0.0432,1.4026,51.26,0.2694,4067,"South",45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98,1
"Little Rock",2015,NA,89428,106200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.89,0.241,544,"South",68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46,1
"Los Angeles",2015,NA,594172,3302313,86184,87406,NA,NA,NA,NA,0.145,0.0265,0.1186,5.4801,64.39,0.2692,11126,"West",35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05,1
"Louisville",2015,NA,145058,463557,15060,28598,1410,1543,4,2,0.1038,0.0617,0.0421,1.6829,71.64,0.2806,1385,"South",84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25,1
